Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Marc Jackson,,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA,NA
Manute Bol,84.0,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2,NA
Carlos Rogers,83.9,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA,NA
Cherokee Parks,83.7,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA,NA
Jim Krebs,83.6,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA,NA,NA
Connie Dierking,81.0,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1,NA
Dan Gadzuric,78.3,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA
Lee Davis,78.2,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA
Miles Plumlee,78.2,4,2.6,2.2,0.9,0.5,0.5,0,NA,NA,NA,NA
Jerome Whitehead,76.2,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
Jordan Hill,75.6,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0,NA,NA,NA
