Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Marc Jackson,,4.6,2.6,2,1.3,1.2,0.7,0.6
Manute Bol,84.2,3.9,2.4,2,1.7,1.3,0.8,0
Jim Krebs,83.6,4.2,2.8,1.5,1.3,1.3,1.2,0.1
Carlos Rogers,81.1,4,2.2,2,0.9,0.9,0.5,0
Lee Davis,78.8,4.6,3.7,2.1,1.5,0.6,0.2,0.2
Duane Causwell,78.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7
Miles Plumlee,78.2,4,2.6,2.2,0.9,0.5,0.5,0
Cherokee Parks,77.6,3.8,2.2,1.9,1.4,0.9,0.2,0
Dan Gadzuric,76.8,5.2,3.7,2.5,1.8,1.2,0.8,0.1
Mike Brown,76.4,3.7,3.7,2.4,1.5,1.4,1,0.7
Jordan Hill,75.8,4.4,3.9,2.2,1.8,1.4,1.4,1.4
