Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Festus Ezeli,,2.7,1.7,1.5
Greg Stiemsma,98.0,2.7,1.7,1.5
Francisco Elson,95.5,2.9,1.8,1.6
Olden Polynice,93.2,2.5,1.6,1.5
Danny Schayes,91.7,2.8,2,1.7
Wayne Cooper,91.5,2.8,1.5,1.2
Hub Reed,88.0,2.8,1.7,1
Boban Marjanović,87.3,3.4,1.7,1.5
Sean Rooks,86.6,3,2.2,1.5
Harvey Catchings,86.3,2.3,1.7,1.2
Michael Doleac,86.2,3,2.2,1.5
