Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Festus Ezeli,,2.7,1.7,1.5,NA,NA,NA
Greg Stiemsma,97.0,2.7,1.7,1.5,0.1,NA,NA
Joffrey Lauvergne,84.5,2.3,1.5,1.3,0.1,NA,NA
Reggie Harding,79.8,3.1,2.6,1.6,0,NA,NA
Jack Toomay,76.6,3.6,1.6,1.1,NA,NA,NA
Charlie Tyra,75.0,2.3,1.5,1.1,0.2,-0.2,NA
Tarik Black,74.6,3.1,2.4,1.5,0.7,NA,NA
Jeff Withey,74.6,2.3,1.8,1.8,0.8,0,NA
Ed Kalafat,74.5,2.6,2.1,0.7,NA,NA,NA
Howie Schultz,74.3,3,2,0.6,NA,NA,NA
Tom LaGarde,74.2,2.7,2.2,1.7,0.4,0,-0.5
