Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ira Bowman,,0.1,0.1,0,NA
Jarell Eddie,73.9,0.1,0.1,0,NA
Awvee Storey,52.9,0.2,0.1,0,NA
Bo Kimble,43.0,0.1,0,0,NA
Jared Cunningham,35.4,0.1,0.1,0,0
Dwight Buycks,34.8,0.2,0.1,0,NA
Gerald Madkins,30.8,0.3,0.1,0,NA
Dominique Jones,26.4,0.2,0,0,NA
Mike Price,21.4,0.2,0.2,0.1,NA
Jay Arnette,19.0,0.1,0.1,-0.1,NA
Michael Hawkins,8.3,0.2,0,0,0
