Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lonnie Shelton,,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1
Jim Pollard,92.7,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA
Gus Johnson,92.3,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1
Kenneth Faried,91.6,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA
Wil Jones,90.2,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA
Amir Johnson,90.0,7.3,6.3,5.6,5.1,4.5,4,3,2.7,0.5,0.2
Raef LaFrentz,89.0,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2
Loy Vaught,88.1,6.3,6.3,5.5,5.5,4.2,4.1,2.2,0.5,0.2,-0.2
Boris Diaw,87.7,8.9,6.2,4.8,4.7,4.6,4.4,3,0.8,0.6,0.1
Bill Bradley,87.3,7,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8
M.L. Carr,87.1,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4
