Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Andre Roberson,,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
Charlie Bell,91.7,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA,NA,NA,NA
Elfrid Payton,87.5,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA,NA,NA,NA
Al Skinner,87.3,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA,NA,NA,NA
Jaren Jackson,86.4,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Whitey Skoog,85.8,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA,NA
Skeeter Swift,85.8,4.3,3.4,2.7,1.8,0,NA,NA,NA,NA,NA,NA,NA
Greivis Vásquez,85.3,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA,NA,NA,NA
Roger Mason,85.1,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA,NA
Joe Hamilton,84.0,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA,NA,NA,NA
Eric Money,83.6,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA,NA,NA,NA,NA
