Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Andre Roberson,,4.2,3.4,2.2,2.1,0.8
Spud Webb,92.5,4.5,3.5,2.3,2.2,1.2
Frank Johnson,91.7,4.3,3,2.1,1.9,0.5
Whitey Skoog,90.1,4.1,3.6,2.9,1.9,1
Darrell Walker,89.9,3.8,2.8,2.3,2.1,0.8
Thabo Sefolosha,89.3,4.1,4,2.2,1.5,0.8
Al Wood,88.0,4.4,4.2,2.5,2.3,0.9
Henry Bibby,87.9,4.1,2.9,2.3,1.5,1
Mo Williams,87.7,4.5,3.2,2.5,2.2,0.2
Tim Hardaway,87.6,4.8,3.1,2.6,1.9,0.8
Jamaal Tinsley,87.6,4.4,3.7,2.8,1.7,0.7
