Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gustavo Ayón,,3.2,1.2,0.7,NA,NA,NA
Ivica Zubac,92.7,3.2,1.1,1,NA,NA,NA
Lucas Nogueira,82.2,3.7,1.6,0.7,0,NA,NA
Jack Toomay,79.1,3.6,1.6,1.1,NA,NA,NA
Howie Schultz,78.7,3,2,0.6,NA,NA,NA
Vladimir Stepania,72.2,2.9,1.7,0.8,0.2,-0.1,-0.3
Steve Patterson,71.8,3,1.5,0.9,0.1,-0.7,NA
Ed Kalafat,68.7,2.6,2.1,0.7,NA,NA,NA
Festus Ezeli,67.9,2.7,1.7,1.5,NA,NA,NA
Will Frazier,67.3,3.8,0.9,-0.1,NA,NA,NA
Evan Eschmeyer,66.3,2.5,0.7,0.5,0.2,NA,NA
