Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bart Kofoed,,0.2,0,0,-0.1,-0.1
Michael Hawkins,-23.0,0.2,0,0,0,NA
Dwight Buycks,-34.0,0.2,0.1,0,NA,NA
Gerald Madkins,-37.2,0.3,0.1,0,NA,NA
Jimmy Oliver,-40.2,0.2,0.2,0,0,-0.1
Awvee Storey,-41.2,0.2,0.1,0,NA,NA
R.J. Hunter,-48.7,0.3,0.1,0,0,NA
Mike Price,-50.0,0.2,0.2,0.1,NA,NA
Jaren Jackson,-51.7,0.4,0.1,0,0,-0.1
Malcolm Lee,-51.9,0.4,0.1,0,NA,NA
Dominique Jones,-55.6,0.2,0,0,NA,NA
