Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Pervis Ellison,,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0,NA
Bison Dele,86.6,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA,NA
Buck Johnson,86.1,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA,NA
Andrés Nocioni,85.9,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA,NA
J.J. Hickson,85.8,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA,NA,NA,NA
Adam Keefe,85.4,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA,NA
Markieff Morris,85.0,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA,NA
John Williams,83.9,6.9,5,3.5,1.9,1.3,1,0.8,-0.5,NA,NA,NA,NA
Greg Smith,83.4,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA,NA,NA,NA
Donald Royal,82.0,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA,NA
Tracy Murray,81.7,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
