Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Marco Belinelli,,5.9,3.7,3.4,3.2,3,2.9,2.9,2.5,1.2,0.5,0.5,0,NA,NA
Darrell Walker,88.2,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,NA,NA,NA,NA
George McCloud,85.8,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,NA,NA
Bimbo Coles,84.7,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0,0,-0.1
Vernon Maxwell,84.3,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0,0,NA
Bobby Jackson,84.2,5.5,5.4,3.5,3.1,3.1,3,2.5,2.2,1.4,1.2,1.2,-0.6,NA,NA
Kevin Loughery,84.1,8,4,3.6,3,2.9,2.8,2.6,2.5,0.6,0.1,-0.3,NA,NA,NA
Steve Blake,83.2,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1,0.7,0.3,NA
Ricky Sobers,82.6,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA,NA,NA
Eric Gordon,82.5,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA,NA,NA
Kevin Grevey,82.5,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1,NA,NA,NA,NA
