Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Speedy Claxton,,4.2,3.7,3,2.8,1.2,0,-0.7,NA,NA
Eric Money,87.3,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA,NA
Jim McElroy,85.4,4.9,3.5,2.9,2.6,0.8,0.3,-0.9,NA,NA
Greivis Vásquez,83.1,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA
T.J. Ford,82.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA
Whitey Skoog,82.3,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA
Adrian Griffin,81.1,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0
Andre Roberson,79.9,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA
Charlie Bell,79.8,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA
Daniel Gibson,79.8,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA
Marcus Smart,79.6,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA
