Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,HSM,ABA,SF,59,NA,1107,6.7,16.3,0.41,0.1,0.2,0.333,6.6,16.1,0.411,3.7,6.5,0.578,NA,NA,10.1,1.2,1.7,4.9,17.2
1968-69,24,HSM,ABA,SF,14,NA,167,5.8,20.5,0.284,0,0.4,0,5.8,20,0.29,4.5,8,0.568,4.5,4.5,9.1,0.4,2.6,4.3,16.2
Career,NA,,ABA,,73,NA,1274,6.6,16.9,0.39,0.1,0.2,0.25,6.5,16.6,0.392,3.8,6.7,0.576,4.5,4.5,10,1.1,1.8,4.8,17.1
