Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Stan Stutz,,3.9,1.7,1.1
Derek Fisher,97.8,3.8,1.7,1.1
Ron Mercer,95.0,4,1.8,1.3
Gerald Henderson,93.9,3.6,1.7,1.3
Whitey Skoog,91.1,4.1,1.9,1
Al Butler,90.5,4.1,2.1,1.1
Dick Snyder,89.4,3.7,1.8,0.6
Jason Williams,88.5,3.8,2.1,1.5
Johnny Dawkins,87.9,4.3,2,1
Angelo Musi,87.9,3.5,1.3,1.1
Leandro Barbosa,87.4,3.8,1.9,1.8
