Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Stan Stutz,,3.9,1.7,1.1,NA,NA,NA
Angelo Musi,87.9,3.5,1.3,1.1,NA,NA,NA
Ronnie Lester,87.0,3.9,1.7,0.7,0.2,0,-0.2
Al Butler,86.8,4.1,2.1,1.1,-0.3,NA,NA
Jiří Welsch,84.1,3.6,1.7,0.8,-0.4,NA,NA
Billy Ray Bates,82.3,3.6,2.4,0.9,0,NA,NA
Ron Sobie,79.3,3.6,2.6,0.9,0.1,NA,NA
Pat Connaughton,78.1,3.9,2.5,0.6,-0.2,NA,NA
Tyus Edney,77.8,3.3,1.5,1.4,0.5,NA,NA
Seth Curry,76.9,4.6,2.4,1.4,0,0,NA
Bryn Forbes,76.8,3.8,2.1,0.1,NA,NA,NA
