Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1971-72,22,MMP,ABA,PG,4,NA,13,8.3,24.9,0.333,5.5,13.8,0.4,2.8,11.1,0.25,0,0,NA,0,0,0,2.8,NA,0,8.3,22.2
Career,NA,,ABA,,4,NA,13,8.3,24.9,0.333,5.5,13.8,0.4,2.8,11.1,0.25,0,0,NA,0,0,0,2.8,NA,0,8.3,22.2
