Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Donatas Motiejūnas,,4.7,1.4,0.7,0.3,0.2,-0.1,NA,NA,NA
Andy Johnson,83.3,4.6,1.8,1.3,0.3,NA,NA,NA,NA,NA
Harthorne Wingo,78.8,3.9,1.4,0.9,0,NA,NA,NA,NA,NA
Tommy Byrnes,78.3,4,1.7,0.9,0.3,-0.2,NA,NA,NA,NA
Tony Jaros,73.0,4.4,2.2,1.3,0.6,NA,NA,NA,NA,NA
Dick Mehen,72.6,5.6,1.9,0.6,NA,NA,NA,NA,NA,NA
Reggie Williams,71.5,3.7,1.7,0.3,0.3,0.2,0.2,0,NA,NA
Don MacLean,71.3,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0,-0.2
Barney Cable,68.8,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA
Wah Wah Jones,68.6,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA
Larry Stewart,68.5,4.7,2.9,1.6,0.5,0.1,NA,NA,NA,NA
