,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,21,PHO,NBA,,11,19,8,10,,,16,6,,,6,24
1970-71,22,PHO,NBA,,12,29,9,11,,,18,6,,,6,27
1971-72,23,PHO,NBA,,18,30,11,13,,,17,,,,,42
1972-73,24,PHO,NBA,,16,34,10,14,,,26,9,,,6,34
1973-74,25,PHO,NBA,,14,28,9,10,10,18,22,9,3,,6,32
1974-75,26,TOT,NBA,,9,,11,12,,,,,,,,23
1974-75,26,NOJ,NBA,,9,,11,12,,,,,,,,23
1974-75,26,NYK,NBA,,5,10,6,6,,,8,3,,,5,12
1975-76,27,NYK,NBA,,10,,6,8,,,,,,,,21
1976-77,28,NYK,NBA,,8,12,2,2,,,6,2,,,4,17
Career,,,,,18,,11,14,,,,,,,,42
5 Seasons,,PHO,NBA,,18,34,11,14,,,26,,,,,42
3 Seasons,,NYK,NBA,,10,,6,8,,,,,,,,21
1 Season,,NOJ,NBA,,9,,11,12,,,,,,,,23
