Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,21,PHO,NBA,C,82,NA,1394,6.6,14.1,0.47,4,6.2,0.64,NA,NA,11.8,2.1,NA,NA,5.8,17.3
1970-71,22,PHO,NBA,C,82,NA,2033,7.5,16.7,0.451,3.6,4.7,0.765,NA,NA,11.9,2.1,NA,NA,5,18.7
1971-72,23,PHO,NBA,C,81,NA,2142,8.5,17.8,0.479,4.3,5.8,0.744,NA,NA,11.2,2.5,NA,NA,5,21.3
1972-73,24,PHO,NBA,C,81,NA,3114,7.8,16.8,0.466,3.2,4.1,0.786,NA,NA,11.6,3.3,NA,NA,3.7,18.9
1973-74,25,PHO,NBA,C,82,NA,2549,8.1,17.6,0.46,3.3,4.2,0.791,3.3,8.5,11.8,4.7,1,0.8,3.6,19.5
1974-75,26,TOT,NBA,C,67,NA,1125,6.3,15.1,0.419,2.8,3.4,0.819,2.9,7.9,10.8,3.9,1.2,0.7,5.7,15.4
1974-75,26,NOJ,NBA,C,37,NA,851,6.4,15.1,0.422,2.7,3.4,0.8,3.1,8,11.1,4.3,1.3,0.8,5.2,15.5
1974-75,26,NYK,NBA,C,30,NA,274,6.2,15.1,0.409,2.9,3.3,0.88,2.4,7.8,10.1,2.9,0.9,0.4,7.2,15.2
1975-76,27,NYK,NBA,C,82,NA,1340,7,16.3,0.432,2.1,2.7,0.798,2.6,7.8,10.5,3.2,0.7,0.6,5.6,16.2
1976-77,28,NYK,NBA,C,11,NA,135,7.5,15.2,0.491,1.6,1.9,0.857,1.3,5.9,7.2,1.6,1.1,0.8,5.9,16.5
Career,NA,,NBA,,568,NA,13832,7.6,16.6,0.459,3.4,4.5,0.758,3,8.1,11.4,3.2,1,0.7,4.7,18.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,PHO,NBA,,408,NA,11232,7.8,16.8,0.465,3.6,4.8,0.75,3.3,8.5,11.7,3.1,1,0.8,4.4,19.3
3 seasons,NA,NYK,NBA,,123,NA,1749,6.9,16,0.433,2.2,2.7,0.817,2.5,7.7,10.1,3,0.8,0.6,5.9,16.1
1 season,NA,NOJ,NBA,,37,NA,851,6.4,15.1,0.422,2.7,3.4,0.8,3.1,8,11.1,4.3,1.3,0.8,5.2,15.5
