Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,25,PHO,NBA,C,82,NA,2549,9.8,21.4,0.46,4,5.1,0.791,4,10.3,14.4,5.7,1.3,1,4.4,23.7,NA,NA,99
1974-75,26,TOT,NBA,C,67,NA,1125,7.8,18.7,0.419,3.4,4.2,0.819,3.6,9.8,13.4,4.9,1.5,0.9,7,19.1,NA,NA,97
1974-75,26,NOJ,NBA,C,37,NA,851,7.8,18.5,0.422,3.3,4.1,0.8,3.8,9.7,13.5,5.2,1.5,1,6.3,18.9,NA,NA,97
1974-75,26,NYK,NBA,C,30,NA,274,8,19.5,0.409,3.7,4.2,0.88,3.1,10,13.1,3.7,1.2,0.5,9.3,19.7,NA,NA,97
1975-76,27,NYK,NBA,C,82,NA,1340,9,20.9,0.432,2.7,3.4,0.798,3.4,10,13.4,4.1,0.9,0.8,7.2,20.8,NA,NA,98
1976-77,28,NYK,NBA,C,11,NA,135,9.2,18.7,0.491,2,2.3,0.857,1.6,7.2,8.9,2,1.3,1,7.2,20.4,NA,NA,100
Career,NA,,NBA,,242,NA,5149,9.2,20.6,0.445,3.5,4.4,0.799,3.7,10.1,13.8,5,1.2,0.9,5.7,21.9,NA,NA,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NYK,NBA,,123,NA,1749,8.9,20.5,0.433,2.8,3.4,0.817,3.2,9.8,13,3.9,1,0.7,7.5,20.6,NA,NA,98
1 season,NA,PHO,NBA,,82,NA,2549,9.8,21.4,0.46,4,5.1,0.791,4,10.3,14.4,5.7,1.3,1,4.4,23.7,NA,NA,99
1 season,NA,NOJ,NBA,,37,NA,851,7.8,18.5,0.422,3.3,4.1,0.8,3.8,9.7,13.5,5.2,1.5,1,6.3,18.9,NA,NA,97
