Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Neal Walk,,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,NA,NA,NA,NA
Elmore Smith,83.6,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA,NA
Jamaal Magloire,82.7,7.6,6.7,5.7,2.6,2,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6
Gene Moore,81.9,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA
Darrall Imhoff,81.8,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Andris Biedriņš,80.4,8,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0,NA,NA
Steve Stipanovich,79.2,9,6.9,5.9,5,3.6,NA,NA,NA,NA,NA,NA,NA
Rony Seikaly,77.5,6.8,6.7,6.5,6.2,3.2,3,2.7,2.3,0.7,-0.3,-0.5,NA
Jack Nichols,76.1,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA,NA,NA
Enes Kanter,75.9,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA,NA,NA
Tom Boerwinkle,75.7,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,NA,NA
