Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dan Langhi,,0.4,0,-0.1,-0.1
Bob Bigelow,53.2,0.4,0,0,0
Andre Brown,53.1,0.4,0,-0.1,NA
Joe Courtney,45.2,0.4,0.1,0,-0.1
Ken Durrett,39.6,0.5,0.1,0,0
Jarnell Stokes,38.0,0.5,0.1,0.1,NA
Joby Wright,37.5,0.6,0,-0.1,NA
Pops Mensah-Bonsu,36.8,0.3,0,0,0
Anthony Frederick,34.9,0.5,0.2,0,NA
Scooter McCray,34.2,0.3,0.1,0,NA
Josh Huestis,33.1,0.5,0.2,0,NA
