Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Oliver Taylor,,3.9,3.8,2.8,0.4
Adrian Griffin,95.9,3.9,3.5,2.9,0.4
Greivis Vásquez,91.9,3.8,3.6,2.3,0.5
Speedy Claxton,90.1,4.2,3.7,2.8,1.2
Eric Money,89.5,4.2,3.6,3.3,0.3
Kyle Lowry,88.0,4.3,3.6,3.4,0.5
Marquis Daniels,87.7,4.2,3.2,2.5,0.6
Freeman Williams,87.3,4.1,4,1.8,0.4
T.J. Ford,86.9,4.3,3.3,2.5,0.7
T.J. McConnell,86.9,3.8,3.8,2.9,1.9
Gerald Wilkins,86.1,4.3,3.4,3.3,0.7
