,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,23,NYA,ABA,,5,,1,,,,7,9,,,,,,,,,18
1971-72,24,NYA,ABA,,8,,0,,,,6,8,,,,,,,,,22
1972-73,25,SDA,ABA,,10,,2,,,,4,5,,,,,,,,,22
1973-74,26,TOT,ABA,,4,,0,,,,1,1,,,,,,,,,9
1973-74,26,CAR,ABA,,4,,0,,,,1,1,,,,,,,,,9
Career,,,,,10,,2,,,,7,9,,,,,,,,,22
2 Seasons,,NYA,ABA,,8,,1,,,,7,9,,,,,,,,,22
1 Season,,SDA,ABA,,10,,2,,,,4,5,,,,,,,,,22
1 Season,,CAR,ABA,,4,,0,,,,1,1,,,,,,,,,9
