Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Oliver Taylor,,3.9,3.8,2.8,0.4,NA,NA,NA
T.J. McConnell,86.9,3.8,3.8,2.9,1.9,NA,NA,NA
Freeman Williams,84.9,4.1,4,1.8,0.4,-0.1,-0.2,NA
Eddie Robinson,81.2,4,3,2.2,0.8,0.2,NA,NA
Skeeter Swift,81.0,4.3,3.4,2.7,1.8,0,NA,NA
Billy Kenville,79.0,4.5,3.9,3,1.4,0.5,0.4,NA
Allen Crabbe,77.6,4.3,4.2,3.2,1.3,0.8,0.1,NA
Pablo Prigioni,77.1,3.4,3.2,2.3,1.5,NA,NA,NA
Greivis Vásquez,77.0,3.8,3.6,2.8,2.3,0.5,0,-0.3
Butch van Breda Kolff,76.3,4.4,2.5,2.3,0.2,NA,NA,NA
Bill Gabor,76.0,3.5,2.9,2.8,1.5,0.5,0,NA
