Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Khalid Reeves,,3.5,2.5,1.2,1.1,0.1,0,NA
Jerian Grant,88.3,3.3,2.5,1.7,0.8,NA,NA,NA
Roger Phegley,88.2,3.7,2.6,1.6,0.8,0,-0.1,NA
Devin Booker,82.1,3.5,2.4,2,1.9,NA,NA,NA
Butch Carter,82.0,3,2.6,1.3,0.9,0.9,-0.2,NA
Jim Les,81.8,3.6,2.3,1.3,0.3,0.3,0.2,0.1
Reggie Bullock,81.6,4.2,3.1,1.2,1,0.2,0.1,NA
Shammond Williams,81.2,3.1,2.9,1.2,1,0.5,0.2,0
Tyus Jones,80.8,3.6,3,1.5,0.3,NA,NA,NA
Ron Sobie,80.5,3.6,2.6,0.9,0.1,NA,NA,NA
Billy Ray Bates,78.7,3.6,2.4,0.9,0,NA,NA,NA
