Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Khalid Reeves,,3.5,2.5,1.2,1.1,0.1,0
Jerian Grant,88.3,3.3,2.5,1.7,0.8,NA,NA
Roger Phegley,88.2,3.7,2.6,1.6,0.8,0,-0.1
Kevin Ollie,87.7,3.8,2.4,1.4,0.9,0,-0.1
Chris Whitney,87.2,3.2,2.7,1.3,1,-0.2,-0.3
Shammond Williams,85.5,3.1,2.9,1.2,1,0.2,0
Jim Les,83.5,3.6,2.3,1.3,0.3,0.3,0.1
Devin Booker,82.1,3.5,2.4,2,1.9,NA,NA
Butch Carter,82.0,3,2.6,1.3,0.9,0.9,-0.2
Reggie Bullock,81.6,4.2,3.1,1.2,1,0.2,0.1
Quincy Pondexter,80.9,3.2,2.9,1.7,0.9,0.4,-0.2
