Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
George King,,8.1,6.4,6.3,3.8,3.8,3
Eddie Johnson,94.6,8.2,6.9,6.3,4.8,3.5,3
Damon Stoudamire,91.2,7.6,6.7,6.1,4.7,4.3,3.6
Ronnie Brewer,90.5,7.8,6.8,5.4,3.9,3.7,1.7
Devin Harris,90.4,7.5,6.5,5.6,3.7,2.7,2.7
Slater Martin,90.2,8.2,6.3,6.2,6.1,4.2,3.5
Johnny Moore,90.1,7.2,6.6,5.8,3.8,3.2,2.1
Frankie Brian,89.8,9.2,6.1,5.6,3.6,3,2.7
Vinny Del Negro,89.1,8.3,6.8,5.7,3.5,2.5,2.2
Steve Jones,88.0,8.2,7.1,5.6,5.4,4.4,2.7
John Wall,88.0,7.9,7.8,5.7,4.5,3.5,2.2
