,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1951-52,23,SYR,NBA,,9,,10,,,,6,25
1952-53,24,SYR,NBA,,8,,10,16,,,6,21
1953-54,25,SYR,NBA,,8,,9,14,,,6,21
1954-55,26,SYR,NBA,,9,,6,10,,,5,22
1955-56,27,SYR,NBA,,15,,9,10,,,6,31
1957-58,29,CIN,NBA,,8,,7,11,,,5,20
Career,,,,,15,,10,,,,6,31
5 Seasons,,SYR,NBA,,15,,10,,,,6,31
1 Season,,CIN,NBA,,8,,7,11,,,5,20
