Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1951-52,23,SYR,NBA,PG,6,207,11.7,0.43,0.519,NA,NA,NA,20,NA,0,0.2,0.2,0.048
1952-53,24,SYR,NBA,PG,2,67,14.5,0.602,0.923,NA,NA,NA,37.4,NA,0.2,0,0.2,0.131
1953-54,25,SYR,NBA,PG,10,286,11.8,0.49,1.016,NA,NA,NA,16.5,NA,0.4,0.2,0.6,0.1
1954-55,26,SYR,NBA,PG,11,371,13.8,0.45,0.47,NA,NA,NA,30.7,NA,0.3,0.6,0.9,0.116
1955-56,27,SYR,NBA,PG,8,317,15.9,0.449,0.444,NA,NA,NA,30.3,NA,0.3,0.2,0.5,0.073
1957-58,29,CIN,NBA,PG,2,79,3.6,0.294,0.214,NA,NA,NA,14.1,NA,-0.2,0,-0.2,-0.093
Career,NA,,NBA,,39,1327,13,0.45,0.555,NA,NA,NA,25.2,NA,1,1.2,2.2,0.08
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,SYR,NBA,,37,1248,13.6,0.461,0.582,NA,NA,NA,25.9,NA,1.2,1.2,2.4,0.091
1 season,NA,CIN,NBA,,2,79,3.6,0.294,0.214,NA,NA,NA,14.1,NA,-0.2,0,-0.2,-0.093
