Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
George King,,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA
Frankie Brian,89.2,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA
Ronnie Brewer,88.0,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA
Bradley Beal,86.3,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA
Johnny Moore,86.2,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1
George Thompson,85.0,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA
Fred Scolari,83.1,8.5,5.6,5.4,4.5,3.1,2.7,1.2,-0.7,NA
Paul Neumann,83.0,6.5,5.8,4.6,4.2,4,3.2,NA,NA,NA
Micheal Ray Richardson,82.5,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA
Glen Combs,82.1,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA
Eric Bledsoe,82.0,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2
