Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,NJA,ABA,SG,74,NA,2638,6.1,16,0.383,1.2,4.1,0.301,4.9,11.9,0.412,6.1,7.4,0.829,NA,NA,6.8,1.9,2,2.5,19.6
1968-69,26,TOT,ABA,SF,64,NA,1453,5.2,14.6,0.357,0.8,3.6,0.221,4.4,11,0.402,7.4,8.3,0.887,2.5,3.5,6,3.4,3.7,3.6,18.6
1968-69,26,NYA,ABA,SF,3,NA,20,0,5.4,0,0,0,NA,0,5.4,0,1.8,1.8,1,0,5.4,5.4,0,0,3.6,1.8
1968-69,26,MNP,ABA,,1,NA,10,0,7.2,0,0,0,NA,0,7.2,0,0,0,NA,3.6,0,3.6,3.6,0,7.2,0
1968-69,26,HSM,ABA,SF,60,NA,1423,5.3,14.7,0.36,0.8,3.7,0.221,4.5,11.1,0.406,7.5,8.5,0.887,2.5,3.5,6,3.5,3.8,3.6,19
Career,NA,,ABA,,138,NA,4091,5.8,15.5,0.375,1.1,3.9,0.275,4.7,11.5,0.409,6.6,7.7,0.851,2.5,3.5,6.5,2.5,2.6,2.9,19.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"NJA,NYA",ABA,,77,NA,2658,6.1,15.9,0.382,1.2,4.1,0.301,4.8,11.8,0.411,6.1,7.4,0.829,0,5.4,6.8,1.9,2,2.5,19.5
1 season,NA,HSM,ABA,,60,NA,1423,5.3,14.7,0.36,0.8,3.7,0.221,4.5,11.1,0.406,7.5,8.5,0.887,2.5,3.5,6,3.5,3.8,3.6,19
1 season,NA,MNP,ABA,,1,NA,10,0,7.2,0,0,0,NA,0,7.2,0,0,0,NA,3.6,0,3.6,3.6,0,7.2,0
