Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,25,NJA,ABA,SG,74,2638,18.7,0.51,0.258,0.464,NA,NA,8.4,7.8,9.3,21.6,NA,5.2,2.1,7.3,0.133
1968-69,26,TOT,ABA,SF,64,1453,14.8,0.51,0.247,0.573,NA,NA,7,13.7,17,22,NA,1.9,1.3,3.2,0.105
1968-69,26,NYA,ABA,SF,3,20,-1.8,0.145,0,0.333,NA,NA,6.7,0,0,6.3,NA,-0.1,0,-0.1,-0.122
1968-69,26,MNP,ABA,,1,10,-4,0,0,0,NA,NA,4.4,11.4,0,7.1,NA,0,0,0,-0.165
1968-69,26,HSM,ABA,SF,60,1423,15.2,0.513,0.249,0.576,NA,NA,7.1,13.9,17.1,22.4,NA,2,1.3,3.3,0.11
Career,NA,,ABA,,138,4091,17.3,0.51,0.254,0.5,NA,NA,7.9,9.9,12.1,21.8,NA,7.1,3.4,10.5,0.123
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"NJA,NYA",ABA,,77,2658,18.5,0.509,0.257,0.463,NA,NA,8.4,7.7,9.2,21.5,NA,5.1,2.1,7.3,0.131
1 season,NA,HSM,ABA,,60,1423,15.2,0.513,0.249,0.576,NA,NA,7.1,13.9,17.1,22.4,NA,2,1.3,3.3,0.11
1 season,NA,MNP,ABA,,1,10,-4,0,0,0,NA,NA,4.4,11.4,0,7.1,NA,0,0,0,-0.165
