Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1967-68,25,NJA,ABA,SG,1,NA,12:00,2,6,0.333,0,3,0,0,0,NA,0,2,1,2,0,4
Career,NA,,ABA,,1,NA,12,2,6,0.333,0,3,0,0,0,NA,0,2,1,2,0,4
