Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,NJA,ABA,SG,74,NA,2638,449,1171,0.383,91,302,0.301,358,869,0.412,0.422,450,543,0.829,NA,NA,500,140,144,184,1439
1968-69,26,TOT,ABA,SF,64,NA,1453,210,588,0.357,32,145,0.221,178,443,0.402,0.384,299,337,0.887,100,141,241,139,151,147,751
1968-69,26,NYA,ABA,SF,3,NA,20,0,3,0,0,0,NA,0,3,0,0,1,1,1,0,3,3,0,0,2,1
1968-69,26,MNP,ABA,,1,NA,10,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,0,1,1,0,2,0
1968-69,26,HSM,ABA,SF,60,NA,1423,210,583,0.36,32,145,0.221,178,438,0.406,0.388,298,336,0.887,99,138,237,138,151,143,750
Career,NA,,ABA,,138,NA,4091,659,1759,0.375,123,447,0.275,536,1312,0.409,0.41,749,880,0.851,100,141,741,279,295,331,2190
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"NJA,NYA",ABA,,77,NA,2658,449,1174,0.382,91,302,0.301,358,872,0.411,0.421,451,544,0.829,0,3,503,140,144,186,1440
1 season,NA,HSM,ABA,,60,NA,1423,210,583,0.36,32,145,0.221,178,438,0.406,0.388,298,336,0.887,99,138,237,138,151,143,750
1 season,NA,MNP,ABA,,1,NA,10,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,0,1,1,0,2,0
