Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,NJA,ABA,SG,74,NA,35.6,6.1,15.8,0.383,1.2,4.1,0.301,4.8,11.7,0.412,0.422,6.1,7.3,0.829,NA,NA,6.8,1.9,1.9,2.5,19.4
1968-69,26,TOT,ABA,SF,64,NA,22.7,3.3,9.2,0.357,0.5,2.3,0.221,2.8,6.9,0.402,0.384,4.7,5.3,0.887,1.6,2.2,3.8,2.2,2.4,2.3,11.7
1968-69,26,NYA,ABA,SF,3,NA,6.7,0,1,0,0,0,NA,0,1,0,0,0.3,0.3,1,0,1,1,0,0,0.7,0.3
1968-69,26,MNP,ABA,,1,NA,10,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,0,1,1,0,2,0
1968-69,26,HSM,ABA,SF,60,NA,23.7,3.5,9.7,0.36,0.5,2.4,0.221,3,7.3,0.406,0.388,5,5.6,0.887,1.7,2.3,4,2.3,2.5,2.4,12.5
Career,NA,,ABA,,138,NA,29.6,4.8,12.7,0.375,0.9,3.2,0.275,3.9,9.5,0.409,0.41,5.4,6.4,0.851,1.6,2.2,5.4,2,2.1,2.4,15.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"NJA,NYA",ABA,,77,NA,34.5,5.8,15.2,0.382,1.2,3.9,0.301,4.6,11.3,0.411,0.421,5.9,7.1,0.829,0,1,6.5,1.8,1.9,2.4,18.7
1 season,NA,HSM,ABA,,60,NA,23.7,3.5,9.7,0.36,0.5,2.4,0.221,3,7.3,0.406,0.388,5,5.6,0.887,1.7,2.3,4,2.3,2.5,2.4,12.5
1 season,NA,MNP,ABA,,1,NA,10,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,0,1,1,0,2,0
