Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Houbregs,,6.9,4.5,2.8,0.2,NA
Skip Thoren,90.0,7,4.4,1.6,NA,NA
Jack Nichols,88.0,6.7,4.3,4.1,0.3,NA
Sam Bowie,83.6,5.7,4.7,2.4,0.5,0.1
Bill McGill,83.3,7.1,4.6,3.1,2.2,-0.1
Dale Schlueter,80.0,6.3,4.4,3,1.6,1.1
Manny Leaks,79.4,7.3,5.2,1.1,0.2,-0.2
Channing Frye,78.4,6.4,3.5,3.2,0.9,0.8
Jusuf Nurkić,77.4,7.8,4.7,2,1.6,0.4
Bismack Biyombo,76.7,5.9,4,3.2,1.4,0.6
Marvin Webster,76.5,8.7,3.9,2.8,1.3,0.2
