Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bob Houbregs,,6.9,4.5,2.8,0.2,NA,NA
Skip Thoren,90.0,7,4.4,1.6,NA,NA,NA
Bill McGill,83.3,7.1,4.6,3.1,2.2,-0.1,NA
Jusuf Nurkić,77.4,7.8,4.7,2,1.6,0.4,NA
Jakob Pöltl,75.8,5.6,5.1,1.6,NA,NA,NA
Manny Leaks,75.4,7.3,5.2,1.1,0.8,0.2,-0.2
Fabricio Oberto,75.0,6.1,4.1,1.7,1.1,0.6,0
Chick Halbert,72.1,7.4,3.6,3.3,2.9,NA,NA
Gheorghe Mureșan,72.1,8,5.3,4.1,1.3,0.3,-0.1
Nikola Peković,71.4,6.7,5.9,4.5,1.2,0.6,-0.1
Joel Embiid,70.6,8.7,6.2,1.9,NA,NA,NA
