Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,21,TOT,NBA,PF,70,NA,1970,209,562,0.372,190,266,0.714,375,123,209,608
1953-54,21,MLH,NBA,,11,NA,166,19,62,0.306,26,34,0.765,46,9,21,64
1953-54,21,BLB,NBA,PF,59,NA,1804,190,500,0.38,164,232,0.707,329,114,188,544
1954-55,22,TOT,NBA,C,64,NA,1326,148,386,0.383,129,182,0.709,297,86,180,425
1954-55,22,BLB,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,22,BOS,NBA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,22,FTW,NBA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-56,23,FTW,NBA,C,70,NA,1535,247,575,0.43,283,383,0.739,414,159,147,777
1956-57,24,FTW,NBA,C,60,NA,1592,253,585,0.432,167,234,0.714,401,113,118,673
1957-58,25,DET,NBA,PF,17,NA,302,49,137,0.358,30,43,0.698,65,19,36,128
Career,NA,,NBA,,281,NA,6725,906,2245,0.404,799,1108,0.721,1552,500,690,2611
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"FTW,DET",NBA,,147,NA,3429,549,1297,0.423,480,660,0.727,880,291,301,1578
2 seasons,NA,BLB,NBA,,59,NA,1804,190,500,0.38,164,232,0.707,329,114,188,544
1 season,NA,MLH,NBA,,11,NA,166,19,62,0.306,26,34,0.765,46,9,21,64
1 season,NA,BOS,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
