,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,22,TOT,NBA,,4,,6,6,,,5,12
1954-55,22,FTW,NBA,,4,,6,6,,,5,12
1955-56,23,FTW,NBA,,7,,6,9,,,6,20
1956-57,24,FTW,NBA,,5,,4,7,,,2,14
Career,,,,,7,,6,9,,,6,20
