Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Pace Mannion,,0.9,0.4,0.3,0.2,0,-0.2
Gerald Glass,78.5,0.9,0.5,0.3,0.1,NA,NA
Chris Corchiani,75.6,0.9,0.4,0.3,NA,NA,NA
Morlon Wiley,74.0,0.9,0.5,0.2,0.1,0.1,-0.2
Keith McLeod,68.5,0.8,0.6,0.3,0.2,NA,NA
JaKarr Sampson,66.1,0.8,0.6,0.5,0.1,NA,NA
Jimmer Fredette,64.6,1.1,0.8,0.3,0.2,0,-0.2
Kelvin Upshaw,64.6,1,0.3,0.3,NA,NA,NA
Mitchell Butler,63.7,1.1,0.6,0.5,0.3,0.1,-0.2
Eddie Gill,62.8,1.1,0.3,0.2,0.1,0.1,0
Tracy Moore,62.5,0.6,0.5,0.3,0.3,0.1,NA
