Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Pace Mannion,,0.9,0.4,0.3,0.2,0,-0.2,NA
Gerald Glass,78.5,0.9,0.5,0.3,0.1,NA,NA,NA
Chris Corchiani,75.6,0.9,0.4,0.3,NA,NA,NA,NA
Keith McLeod,68.5,0.8,0.6,0.3,0.2,NA,NA,NA
JaKarr Sampson,66.1,0.8,0.6,0.5,0.1,NA,NA,NA
Jimmer Fredette,64.6,1.1,0.8,0.3,0.2,0,-0.2,NA
Kelvin Upshaw,64.6,1,0.3,0.3,NA,NA,NA,NA
Tracy Moore,62.5,0.6,0.5,0.3,0.3,0.1,NA,NA
Shawn Respert,61.2,0.8,0.7,0.5,0.1,NA,NA,NA
Greg Graham,61.1,0.8,0.3,0.3,0.1,-0.1,NA,NA
Eddie Gill,59.9,1.1,0.3,0.2,0.1,0.1,0.1,0
