Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,22,CIN,NBA,PF,33,NA,6.1,0.9,2.9,0.309,NA,NA,NA,0.9,2.9,0.309,0.309,0.3,0.5,0.588,NA,NA,2.1,0.2,NA,1.1,2.1
1967-68,23,SDR,NBA,PF,30,NA,7.6,0.8,3.2,0.258,NA,NA,NA,0.8,3.2,0.258,0.258,0.8,1.1,0.676,NA,NA,2.6,0.2,NA,0.9,2.4
1968-69,24,DLC,ABA,PF,1,NA,15,3,4,0.75,0,0,NA,3,4,0.75,0.75,1,2,0.5,2,5,7,1,1,4,7
Career,NA,,TOT,,64,NA,6.9,0.9,3.1,0.293,0,0,NA,0.9,3.1,0.293,0.293,0.5,0.8,0.642,2,5,2.4,0.2,1,1,2.3
,NA,,NBA,,63,NA,6.8,0.9,3.1,0.284,NA,NA,NA,0.9,3.1,0.284,0.284,0.5,0.8,0.647,NA,NA,2.3,0.2,NA,1,2.3
,NA,,ABA,,1,NA,15,3,4,0.75,0,0,NA,3,4,0.75,0.75,1,2,0.5,2,5,7,1,1,4,7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CIN,NBA,,33,NA,6.1,0.9,2.9,0.309,NA,NA,NA,0.9,2.9,0.309,0.309,0.3,0.5,0.588,NA,NA,2.1,0.2,NA,1.1,2.1
1 season,NA,SDR,NBA,,30,NA,7.6,0.8,3.2,0.258,NA,NA,NA,0.8,3.2,0.258,0.258,0.8,1.1,0.676,NA,NA,2.6,0.2,NA,0.9,2.4
1 season,NA,DLC,ABA,,1,NA,15,3,4,0.75,0,0,NA,3,4,0.75,0.75,1,2,0.5,2,5,7,1,1,4,7
