,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,22,CIN,NBA,,4,,,,,,3,4,,,,,,,11
1967-68,23,SDR,NBA,,3,,,,,,4,5,,,,,,,8
1968-69,24,DLC,ABA,,3,,0,,,,1,2,,,,,,,7
Career,,,TOT,,4,,,,,,4,5,,,,,,,11
,,,NBA,,4,,,,,,4,5,,,,,,,11
,,,ABA,,3,,0,,,,1,2,,,,,,,7
,,,,,,,,,,,,,,,,,,,
1 Season,,CIN,NBA,,4,,,,,,3,4,,,,,,,11
1 Season,,SDR,NBA,,3,,,,,,4,5,,,,,,,8
1 Season,,DLC,ABA,,3,,0,,,,1,2,,,,,,,7
