Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1966-67,22,CIN,NBA,PF,33,201,6.1,0.335,NA,0.175,NA,NA,NA,3.8,NA,NA,NA,-0.7,0.1,-0.5,-0.127
1967-68,23,SDR,NBA,PF,30,228,6.4,0.326,NA,0.351,NA,NA,NA,3.9,NA,NA,NA,-0.8,0.2,-0.6,-0.124
1968-69,24,DLC,ABA,PF,1,15,22.6,0.717,0,0.5,NA,NA,21.4,10.3,17,14.9,NA,0.1,0,0.1,0.261
Career,NA,,TOT,,64,444,6.8,0.339,0,0.268,NA,NA,21.4,4.1,17,14.9,NA,-1.4,0.4,-1,-0.112
,NA,,NBA,,63,429,6.2,0.33,NA,0.263,NA,NA,NA,3.8,NA,NA,NA,-1.5,0.4,-1.1,-0.125
,NA,,ABA,,1,15,22.6,0.717,0,0.5,NA,NA,21.4,10.3,17,14.9,NA,0.1,0,0.1,0.261
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CIN,NBA,,33,201,6.1,0.335,NA,0.175,NA,NA,NA,3.8,NA,NA,NA,-0.7,0.1,-0.5,-0.127
1 season,NA,SDR,NBA,,30,228,6.4,0.326,NA,0.351,NA,NA,NA,3.9,NA,NA,NA,-0.8,0.2,-0.6,-0.124
1 season,NA,DLC,ABA,,1,15,22.6,0.717,0,0.5,NA,NA,21.4,10.3,17,14.9,NA,0.1,0,0.1,0.261
