Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,22,CIN,NBA,PF,33,NA,201,5.4,17.4,0.309,NA,NA,NA,5.4,17.4,0.309,1.8,3,0.588,NA,NA,12.4,1.1,NA,6.3,12.5
1967-68,23,SDR,NBA,PF,30,NA,228,3.9,15.3,0.258,NA,NA,NA,3.9,15.3,0.258,3.6,5.4,0.676,NA,NA,12.2,1.1,NA,4.4,11.5
1968-69,24,DLC,ABA,PF,1,NA,15,7.2,9.6,0.75,0,0,NA,7.2,9.6,0.75,2.4,4.8,0.5,4.8,12,16.8,2.4,2.4,9.6,16.8
Career,NA,,TOT,,64,NA,444,4.7,16.1,0.293,0,0,NA,4.7,16.1,0.293,2.8,4.3,0.642,4.8,12,12.4,1.1,2.4,5.4,12.2
,NA,,NBA,,63,NA,429,4.6,16.3,0.284,NA,NA,NA,4.6,16.3,0.284,2.8,4.3,0.647,NA,NA,12.3,1.1,NA,5.3,12
,NA,,ABA,,1,NA,15,7.2,9.6,0.75,0,0,NA,7.2,9.6,0.75,2.4,4.8,0.5,4.8,12,16.8,2.4,2.4,9.6,16.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CIN,NBA,,33,NA,201,5.4,17.4,0.309,NA,NA,NA,5.4,17.4,0.309,1.8,3,0.588,NA,NA,12.4,1.1,NA,6.3,12.5
1 season,NA,SDR,NBA,,30,NA,228,3.9,15.3,0.258,NA,NA,NA,3.9,15.3,0.258,3.6,5.4,0.676,NA,NA,12.2,1.1,NA,4.4,11.5
1 season,NA,DLC,ABA,,1,NA,15,7.2,9.6,0.75,0,0,NA,7.2,9.6,0.75,2.4,4.8,0.5,4.8,12,16.8,2.4,2.4,9.6,16.8
