Season,Team,Lg,Salary
1999-00,Chicago Bulls,NBA,"$1,079,760"
2000-01,Chicago Bulls,NBA,"$1,160,760"
2001-02,Chicago Bulls,NBA,"$1,241,760"
2002-03,Indiana Pacers,NBA,"$1,904,860"
2003-04,Indiana Pacers,NBA,"$5,473,684"
2004-05,Indiana Pacers,NBA,"$6,157,895"
2005-06,Indiana Pacers,NBA,"$6,842,105"
2006-07,Sacramento Kings,NBA,"$7,526,316"
2007-08,Sacramento Kings,NBA,"$7,400,000"
2008-09,Houston Rockets,NBA,"$7,400,000"
2009-10,Los Angeles Lakers,NBA,"$5,854,000"
2010-11,Los Angeles Lakers,NBA,"$6,322,320"
2011-12,Los Angeles Lakers,NBA,"$6,790,640"
2012-13,Los Angeles Lakers,NBA,"$7,258,960"
2013-14,New York Knicks,NBA,"$1,590,000"
2015-16,Los Angeles Lakers,NBA,"$1,499,187"
2016-17,Los Angeles Lakers,NBA,"$1,551,659"
Career,(may be incomplete),,"$77,053,906"
