Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Metta World Peace,,8,7.2,6.7,5.5,5.3,4.7,4.6,4.4,3.7,2.7,2.6,2.3,1.9,1.3,0.3,0.1,-0.2,NA
Grant Long,91.0,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2,NA,NA,NA
Armen Gilliam,90.5,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3,1.2,NA,NA,NA,NA,NA
Marvin Williams,89.7,7.8,6.1,5.7,5.7,5,5,4.9,4.3,4,3.8,2.9,2.8,2.3,2.3,NA,NA,NA,NA
Trevor Ariza,89.6,8,6.6,6.1,6,5.4,5.3,3.4,3.4,3.2,3.1,2.5,2.2,2.1,1.8,0.9,NA,NA,NA
Derrick McKey,89.4,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,2.1,1.8,1.6,1.6,1.4,0.4,NA,NA,NA
Joe Smith,89.3,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3,2.8,2.7,2.6,2.3,0.9,-0.1,NA,NA
Antonio Davis,89.2,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2,0.3,NA,NA,NA,NA,NA
Thaddeus Young,89.1,7.4,6.9,6.3,6.2,5.5,5.5,4.6,4.5,4.1,3.5,3.1,2.1,NA,NA,NA,NA,NA,NA
Kurt Thomas,89.0,8.2,6.5,5.4,5.2,5.2,5,4.5,4.1,3.8,3.3,3.2,2.9,2.5,2.1,1.1,1.1,0.5,-0.2
Amir Johnson,88.8,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,1.1,0.5,0.2,NA,NA,NA,NA
