Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Garrett Temple,,2.7,2.2,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
Robert Pack,85.5,3.1,2.7,2.2,1.7,1.1,1.1,0.7,0.4,-0.6
Mike Bratz,84.4,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1
Nick Young,83.9,2.8,2.5,2.3,1.9,1.4,1.2,1.2,0.4,0.1
Anthony Bowie,83.6,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA
John Crotty,81.9,2.4,2.1,1.9,1.3,1,0.8,0.3,0.1,-0.1
Randy Brown,81.7,2.4,1.9,1.8,1.6,1.5,1,0.4,0.3,-0.8
Gary Grant,81.4,3,1.7,1.6,1.4,1.3,1.3,0.6,0.4,-0.4
David Wingate,79.9,2.4,2.3,1.9,1.4,1,0.4,0.2,0.1,-0.5
Haywoode Workman,79.7,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA
Ledell Eackles,79.5,2.4,2.1,2,1.2,1,1,1,NA,NA
