Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jerry Rullo,,1.5,0.6,0,-0.1,NA
Bobby Washington,87.9,1.5,0.7,0,NA,NA
Vonteego Cummings,81.6,1.3,0.6,0.2,NA,NA
Tracy Jackson,79.8,1.7,0.7,0,NA,NA
Terence Stansbury,79.5,1.5,0.6,0.3,NA,NA
Sean Kilpatrick,75.2,1.4,1,0.1,0.1,NA
Jerry Eaves,69.8,2,0.7,0,-0.1,NA
Ollie Mack,68.4,1.6,1,-0.1,NA,NA
Bernard Robinson,67.4,1.7,0.3,0.1,NA,NA
Bobby Wilson,67.1,1.6,0.2,0,-0.1,NA
Nick Jones,66.8,1.3,0.7,0.2,0,-0.2
