Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jerry Rullo,,1.5,0.6,0,-0.1
Bobby Washington,87.9,1.5,0.7,0,NA
Kevin Ollie,82.7,1.4,0.9,0,-0.1
Vonteego Cummings,81.6,1.3,0.6,0.2,NA
Tracy Jackson,79.8,1.7,0.7,0,NA
Terence Stansbury,79.5,1.5,0.6,0.3,NA
Greg Grant,76.7,1.4,0.2,0,-0.1
Sean Kilpatrick,75.2,1.4,1,0.1,0.1
Randy Livingston,75.0,1.5,0.3,0.1,0
Gerald Green,74.2,1.6,0.5,0,-0.4
Nick Jones,74.2,1.3,0.7,0.2,-0.2
