Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,21,VIR,ABA,SF,1,NA,25:00,9,15,0.6,0,0,NA,2,2,1,2,6,3,NA,NA,1,3,20
1972-73,22,VIR,ABA,SF,1,NA,30:00,8,16,0.5,0,0,NA,6,8,0.75,1,5,1,0,1,0,4,22
1973-74,23,NYA,ABA,SF,1,NA,27:00,6,15,0.4,0,0,NA,2,2,1,5,11,8,0,3,4,1,14
1974-75,24,NYA,ABA,SF,1,NA,27:00,6,12,0.5,1,1,1,8,10,0.8,3,7,7,2,1,3,4,21
1975-76,25,NYA,ABA,SF,1,NA,25:00,9,12,0.75,0,1,0,5,7,0.714,NA,7,5,NA,NA,NA,4,23
1976-77,26,PHI,NBA,SF,1,1,30:00,12,20,0.6,NA,NA,NA,6,6,1,5,12,3,4,1,NA,2,30
1977-78,27,PHI,NBA,SF,1,1,27:00,3,14,0.214,NA,NA,NA,10,12,0.833,2,8,3,0,1,2,1,16
1978-79,28,PHI,NBA,SF,1,1,39:00,10,22,0.455,NA,NA,NA,9,12,0.75,6,8,5,2,0,1,4,29
1979-80,29,PHI,NBA,SF,1,1,20:00,4,12,0.333,0,0,NA,3,4,0.75,2,5,2,2,1,2,5,11
1980-81,30,PHI,NBA,SF,1,1,29:00,6,15,0.4,0,0,NA,6,7,0.857,3,3,2,2,1,2,2,18
1981-82,31,PHI,NBA,SF,1,1,32:00,7,16,0.438,0,0,NA,2,4,0.5,3,8,2,1,2,4,4,16
1982-83,32,PHI,NBA,SF,1,1,28:00,11,19,0.579,0,0,NA,3,3,1,3,6,3,1,2,2,1,25
1983-84,33,PHI,NBA,SF,1,1,36:00,14,22,0.636,0,0,NA,6,8,0.75,4,8,5,2,2,1,4,34
1984-85,34,PHI,NBA,SF,1,1,23:00,5,15,0.333,0,0,NA,2,2,1,2,4,3,1,0,1,3,12
1985-86,35,PHI,NBA,SF,1,1,19:00,4,10,0.4,0,0,NA,0,2,0,1,4,2,2,0,2,2,8
1986-87,36,PHI,NBA,SF,1,1,33:00,9,13,0.692,1,1,1,3,3,1,3,4,5,1,1,2,3,22
Career,NA,,TOT,,16,11,450,123,248,0.496,2,3,0.667,73,92,0.793,45,106,59,20,16,27,47,321
,NA,,NBA,,11,11,316,85,178,0.478,1,1,1,50,63,0.794,34,70,35,18,11,19,31,221
,NA,,ABA,,5,NA,134,38,70,0.543,1,2,0.5,23,29,0.793,11,36,24,2,5,8,16,100
