Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Victor Claver,,0.2,0.1,-0.1
Jacky Dorsey,73.9,0.2,0.2,-0.1
Jackie Robinson,64.9,0.2,0.1,0
Alando Tucker,43.9,0.2,0.1,0
Doug Edwards,39.2,0.2,0.1,0
Easy Parham,34.4,0.3,0.1,0
Scooter McCray,24.1,0.3,0.1,0
Chris McCullough,16.2,0.3,0.2,0.1
Devin Ebanks,14.9,0.4,0.3,-0.1
Jordan Mickey,13.9,0.3,0.1,0.1
Dwight Waller,13.2,0.1,0,-0.1
