Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Lavoy Allen,,3.7,2.8,2.5,1.7,1.6,1.5
George Lynch,92.1,3.9,2.6,2.5,1.7,1.5,0.9
Tim Bassett,91.7,3.7,2.6,2.4,1.5,1.4,1.1
Etan Thomas,91.2,4.5,2.7,2.5,1.6,1.6,1.3
Derrick Williams,91.1,3.6,3,2.6,2.1,1.8,1.1
Don Ford,90.2,3.5,2.8,2.5,2,1.5,0.6
Reggie Evans,89.1,3.8,3,2.7,2.3,2.1,1.7
Othella Harrington,89.0,3,3,2.5,2.2,1.7,1.4
Lawrence Funderburke,87.3,3.7,3.1,2.1,1.9,1.6,0.5
Dante Cunningham,86.8,3.5,3.4,2.9,2,1.9,1.6
Darius Songaila,86.2,4.3,2.6,2.5,2.4,1.7,1.1
