Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Lavoy Allen,,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA,NA
Tim Bassett,91.1,3.7,2.6,2.4,1.5,1.4,1.1,0.1,NA,NA
Derrick Williams,90.8,3.6,3,2.6,2.1,1.8,1.1,0,NA,NA
Don Ford,89.3,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA,NA
Etan Thomas,88.7,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1
Scott Padgett,87.1,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,NA
Lawrence Funderburke,86.9,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA
Toby Kimball,85.2,3.4,3.2,2.5,2,1.2,1.2,0.4,0.2,0
Kevin Restani,84.6,3.5,2.6,2.2,2.1,2,1.8,0.5,0,NA
Mike Muscala,84.2,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA,NA
Mike Scott,84.1,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA,NA
