Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tom Kozelko,,1,0.7,0.7,NA,NA,NA,NA,NA
James Michael McAdoo,82.1,1.1,0.8,0.5,0,NA,NA,NA,NA
Bo Ellis,79.3,1.1,0.9,0.5,NA,NA,NA,NA,NA
Ray Tolbert,79.0,1.1,0.8,0.7,0.3,0,NA,NA,NA
Josh Powell,75.7,1.1,0.7,0.6,0.3,0,0,-0.2,NA
Calvin Garrett,75.2,1.4,0.6,0.6,0,NA,NA,NA,NA
Mark Hendrickson,73.8,0.9,0.8,0.3,0.1,NA,NA,NA,NA
Yi Jianlian,72.8,1.3,0.7,0.7,0.4,0,NA,NA,NA
Shavlik Randolph,72.8,1.1,0.7,0.4,0.1,0,0,0,0
Patrick McFarland,72.4,1.3,0.7,0.4,NA,NA,NA,NA,NA
Timothé Luwawu-Cabarrot,70.5,0.8,0.8,0.2,NA,NA,NA,NA,NA
