Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Moochie Norris,,4.4,1.8,1.7,1.7,0.8,0.3,-0.1,-0.2,-0.4
Kent Bazemore,83.3,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA
Ish Smith,81.5,4.4,3.1,1.7,1.3,1,0.3,-0.1,-0.1,-0.4
Brandon Knight,79.0,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA
Johnny Neumann,78.8,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA
Ron Mercer,77.1,4,1.8,1.8,1.3,1.3,0.4,-0.1,-1.1,NA
Matthew Dellavedova,76.8,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA
Lee Winfield,76.8,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA
Sonny Hertzberg,76.1,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA
Ron Lee,76.1,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA
Ernie Beck,75.5,4.3,2.1,1.1,0.9,0.9,0.1,-0.4,NA,NA
