Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sergey Karasev,,0.7,0.3,-0.1,NA
Glenn Hansen,79.5,0.8,0.4,-0.1,NA
Raymond Townsend,78.6,0.8,0.4,-0.2,NA
Greg Sutton,74.8,0.8,0.2,-0.1,NA
Phil Pressey,74.6,0.8,0.1,-0.1,NA
Andre McCarter,70.6,0.8,0.3,0,NA
Tom Ingelsby,61.5,0.7,0.1,0,NA
Connie Norman,59.1,0.8,0.2,0.2,NA
Markel Brown,58.3,0.6,0.5,0,NA
Archie Goodwin,57.7,0.7,0.2,0.2,0.1
Sam Jacobson,56.3,0.9,0.2,0,NA
