Season,Team,Lg,Salary
2014-15,Philadelphia 76ers,NBA,"$915,243"
2015-16,Brooklyn Nets,NBA,"$161,622"
2016-17,Utah Jazz,NBA,"$75,000"
Career,(may be incomplete),,"$1,151,865"
