Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Henry Sims,,2.1,2.1,0.4,0,NA,NA
Hasheem Thabeet,88.8,2.2,2,0.3,0.3,0,NA
Ed Kalafat,85.3,2.6,2.1,0.7,NA,NA,NA
Gene Conley,81.5,2.8,2.1,0.4,0,0,-0.1
Justin Hamilton,79.1,2.1,1.5,0.1,NA,NA,NA
Howie Schultz,77.0,3,2,0.6,NA,NA,NA
George Nostrand,74.6,2,2,1.3,0.4,NA,NA
Bob Christian,71.8,2.4,1.9,0.9,0.5,0,NA
Irv Rothenberg,67.4,2.3,1.6,-0.2,NA,NA,NA
Joffrey Lauvergne,66.6,2.3,1.5,1.3,0.1,NA,NA
Pete Cross,66.4,2.6,1.8,-0.2,NA,NA,NA
