Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Henry Sims,,2.1,2.1,0.4,0
Hasheem Thabeet,89.6,2.2,2,0.3,0.3
Ed Kalafat,85.3,2.6,2.1,0.7,NA
Gene Conley,83.3,2.8,2.1,0.4,0
Luc Longley,83.3,2.2,1.8,0.2,0.2
Ekpe Udoh,83.3,2.7,2.1,0.7,0
Will Perdue,82.7,2.5,2.3,0.5,-0.1
Mikki Moore,79.4,2.8,2.2,0.6,0.1
Justin Hamilton,79.1,2.1,1.5,0.1,NA
Howie Schultz,77.0,3,2,0.6,NA
Spencer Hawes,76.9,2.4,2.1,0.8,0.6
