Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Viktor Khryapa,,1.3,0.4,0.3,0
Tremaine Fowlkes,83.7,1.2,0.5,0.4,0
Joe Holland,81.8,1.2,0.6,0.2,NA
Winston Bennett,81.0,1.1,0.3,0.2,NA
Cal Bowdler,80.3,1,0.5,0.2,NA
Bob McCann,80.3,1.3,0.6,0.1,0.1
Ben McDonald,79.6,1.3,0.7,0.3,0.2
Patrick McFarland,79.2,1.3,0.7,0.4,NA
Stephen Howard,76.8,1.3,0.2,0.1,0
Chris Singleton,76.5,1.5,0.5,0.2,NA
Kornél Dávid,76.0,1.7,0.4,0.3,NA
