,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2016-17,22,POR,NBA,C,1,17,.333,12.0,.667,.333,.333,.000,.000,.333,.500,.000,1.000,,,.000,.000,.000,0,,.000,,0,0
2017-18,23,POR,NBA,C,4,94,.487,4.3,1.000,.615,.256,.000,.128,.000,.487,.542,.500,,.200,,.316,.077,3,,,,0,0
Career,,,NBA,,5,111,.476,4.8,.976,.595,.262,.000,.119,.024,.488,.520,.545,,.200,.000,.300,.071,3,,.000,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,POR,NBA,,5,111,.476,4.8,.976,.595,.262,.000,.119,.024,.488,.520,.545,,.200,.000,.300,.071,3,,.000,,0,0
